id,user_id,order_date,status
51,71,2021-02-24,completed
52,54,2021-02-25,return_pending
53,34,2021-02-26,completed
54,54,2021-02-26,completed
55,18,2021-02-27,completed
56,79,2021-02-28,completed
57,93,2021-03-01,completed
58,22,2021-03-01,completed
59,30,2021-03-02,completed
60,12,2021-03-03,completed
61,63,2021-03-03,completed
62,57,2021-03-05,completed
63,70,2021-03-06,completed
64,13,2021-03-07,completed
65,26,2021-03-08,completed
66,36,2021-03-10,completed
67,79,2021-03-11,completed
68,53,2021-03-11,completed
69,3,2021-03-11,completed
70,8,2021-03-12,completed
71,42,2021-03-12,shipped
72,30,2021-03-14,shipped
73,19,2021-03-16,completed
74,9,2021-03-17,shipped
75,69,2021-03-18,completed
76,25,2021-03-20,completed
77,35,2021-03-21,shipped
78,90,2021-03-23,shipped
79,52,2021-03-23,shipped
80,11,2021-03-23,shipped
81,76,2021-03-23,shipped
82,46,2021-03-24,shipped
83,54,2021-03-24,shipped
84,70,2021-03-26,placed
85,47,2021-03-26,shipped
86,68,2021-03-26,placed
87,46,2021-03-27,placed
88,91,2021-03-27,shipped
89,21,2021-03-28,placed
90,66,2021-03-30,shipped
91,47,2021-03-31,placed
92,84,2021-04-02,placed
93,66,2021-04-03,placed
94,63,2021-04-03,placed
95,27,2021-04-04,placed
96,90,2021-04-06,placed
97,89,2021-04-07,placed
98,41,2021-04-07,placed
99,85,2021-04-09,placed
